POLLUTANT_CODES,n,pct
300000319 300000322 300000330,2,0
300000320 300000329,2,0
300000322 300000326 300000327,2,0
300000322 300000329 300000330,2,0
300000322 320002821,2,0
300000323 300000329,2,0
300000323 300000330,2,0
4167,2,0
4186 300000329,2,0
5409 10193 10358 10373 10461 10494 200000481,2,0
5409 10373 300000243 300000329,2,0
5409 10461,2,0
5409 300000242 300000243 300000330,2,0
5409 300000242 300000330,2,0
5409 7003 10193 10358 10373 10461 10494 200000481 300000038,2,0
5409 7003 10373 200000481,2,0
5409 7003 300000236,2,0
5409 7003 300000236 300000243 300000329,2,0
5617,2,0
6696 300000242 300000243,2,0
7003 10193 10358 10373 10461 200000481 300000243,2,0
7003 10193 10358 10461 10494,2,0
7003 10193 10461,2,0
7003 10193 300000282,2,0
7003 10358 10461,2,0
7003 10358 10461 300000036,2,0
7003 10358 300000329,2,0
7003 10373 10494 200000481 300000242,2,0
7003 10373 200000481 300000038 300000242,2,0
7003 10373 200000481 300000282,2,0
7003 10373 300000010 300000328,2,0
7003 10373 300000243,2,0
7003 300000018,2,0
7003 300000242 300000328,2,0
7003 300000243 300000282,2,0
7003 300000282 300000329,2,0
7003 300000312,2,0
7003 300000319 300000320,2,0
7003 320002821,2,0
10193 10358 10373,1,0
10193 10358 10373 10461,1,0
10193 10358 10373 10461 10494,1,0
10193 10358 10373 10461 10494 200000481,1,0
10193 10358 10373 10461 200000481,1,0
10193 10358 10373 10461 200000481 300000243,1,0
10193 10358 10373 300000243,1,0
10193 10358 10461 10494,1,0
10193 10358 10461 300000076,1,0
10193 10358 10461 300000242 300000243,1,0
10193 10358 10461 300000328,1,0
10193 10358 10494,1,0
10193 10358 300000005,1,0
10193 10358 300000005 300000243,1,0
10193 10358 300000010 300000207,1,0
10193 10358 300000047 300000329,1,0
10193 10358 300000188 300000243,1,0
10193 10358 300000207 300000243,1,0
10193 10358 300000208,1,0
10193 10358 300000242,1,0
10193 10373 10461 200000481 300000005 300000180 300000242 300000243 300000289 300000322 300000329,1,0
10193 10373 10461 300000322,1,0
10193 10373 200000481 300000007 300000242 300000243 300000322 300000329 300000330,1,0
10193 10373 200000481 300000007 300000242 300000243 300000322 300000330,1,0
10193 10373 200000481 300000243 300000282,1,0
10193 10373 200000481 300000282,1,0
10193 10373 300000018,1,0
10193 10373 300000282,1,0
10193 10461 10494 300000242 300000282 320002781,1,0
10193 10461 200000601,1,0
10193 10461 300000005 300000010,1,0
10193 10461 300000005 300000010 300000016 300000060 300000176 300000322,1,0
10193 10461 300000005 300000010 300000236 300000329,1,0
10193 10461 300000005 300000010 300000305,1,0
10193 10461 300000005 300000018 300000025 300000036 300000038 300000298 300000322,1,0
10193 10461 300000005 300000018 300000025 300000036 300000038 300000298 300000322 300000329,1,0
10193 10461 300000005 300000242 300000243 300000290,1,0
10193 10461 300000005 300000242 300000243 300000322,1,0
10193 10461 300000005 300000242 300000243 300000322 300000329,1,0
10193 10461 300000005 300000243 300000322 300000329,1,0
10193 10461 300000005 300000305 300000322,1,0
10193 10461 300000005 300000319 300000320,1,0
10193 10461 300000005 300000319 300000322,1,0
10193 10461 300000005 300000319 300000329,1,0
10193 10461 300000005 300000322,1,0
10193 10461 300000005 300000329,1,0
10193 10461 300000007 300000048 300000120 300000207 300000243 300000282,1,0
10193 10461 300000010 300000016 300000097 300000169 300000183,1,0
10193 10461 300000010 300000016 300000176 300000236,1,0
10193 10461 300000010 300000016 300000236 300000243 300000282 300000312 300000329,1,0
10193 10461 300000010 300000038 300000183 300000207 300000236 300000242 300000243 300000282 300000315 300000319 300000320 300000322,1,0
10193 10461 300000010 300000176 300000282 300000319 300000329,1,0
10193 10461 300000010 300000236,1,0
10193 10461 300000010 300000236 300000242 300000243 300000305,1,0
10193 10461 300000010 300000236 300000243,1,0
10193 10461 300000010 300000236 300000243 300000282,1,0
10193 10461 300000010 300000236 300000243 300000282 300000328 300000329 300000330,1,0
10193 10461 300000010 300000236 300000243 300000329,1,0
10193 10461 300000010 300000236 300000282 300000329,1,0
10193 10461 300000010 300000236 300000328 300000329,1,0
10193 10461 300000010 300000242 300000243 300000282,1,0
10193 10461 300000010 300000243,1,0
10193 10461 300000010 300000243 300000282 300000328 300000329,1,0
10193 10461 300000010 300000282,1,0
10193 10461 300000010 300000282 300000310,1,0
10193 10461 300000011 300000018 300000036 300000236 300000242 300000243 300000282 300000319 300000322,1,0
10193 10461 300000014 300000017 300000018 300000210 300000242 300000243 300000282 300000330,1,0
10193 10461 300000016 300000176 300000236,1,0
10193 10461 300000016 300000236 300000243 300000282 300000322,1,0
10193 10461 300000018,1,0
10193 10461 300000018 300000036 300000236 300000242 300000243 300000282 300000305 300000319 300000322 300000330,1,0
10193 10461 300000018 300000036 300000236 300000243 300000282 300000305,1,0
10193 10461 300000018 300000072 300000218 300000319,1,0
10193 10461 300000018 300000078 300000095 300000107 300000173 300000183 300000188 300000207 300000243 300000282 300000322,1,0
10193 10461 300000018 300000207 300000234 300000243 300000282 300000322,1,0
10193 10461 300000018 300000207 300000242 300000243 300000282 300000298 300000319 300000322,1,0
10193 10461 300000018 300000234 300000243 300000282 300000319,1,0
10193 10461 300000036 300000236 300000242 300000243,1,0
10193 10461 300000036 300000236 300000282 300000305 300000322 300000329,1,0
10193 10461 300000036 300000319,1,0
10193 10461 300000037 300000243 300000282 300000319,1,0
10193 10461 300000042 300000307 300000322,1,0
10193 10461 300000076 300000180 300000243 300000282 300000319,1,0
10193 10461 300000097 300000236 300000242 300000243 300000282 300000322,1,0
10193 10461 300000168 300000242 300000243 300000282 300000328 300000329,1,0
10193 10461 300000171 300000207 300000242 300000243 300000282 300000319 300000322,1,0
