program_bundle,n_sources,pct
CAAMACT + CAANSPS + CAARMP + CAASIP + CAATVP,6,0
CAAMACT + CAANSPS + CAASFP + CAASIP + CAATVP,6,0
CAANAM + CAANSPS,6,0
CAANFRP + CAANSPS + CAANSR + CAAPSD + CAASIP,6,0
CAANFRP + CAANSPSM + CAAOTH + CAASIP,6,0
CAANSPS + CAANSPSM + CAARMP + CAASIP,6,0
CAANSPSM + CAANSR,6,0
CAANSPSM + CAANSR + CAASIP,6,0
CAAPARGDC + CAASIP,6,0
CAAAR + CAACFC + CAAFENF + CAAMACT + CAANSPS + CAANSR + CAAOTH + CAAPSD + CAASIP + CAATVP,5,0
CAAAR + CAAGHG + CAAMACT + CAANSPS + CAAPSD + CAASIP + CAATVP,5,0
CAAAR + CAASIP,5,0
CAACFC + CAAFESOP + CAAMACT + CAANSPS + CAASIP,5,0
CAACFC + CAAFESOP + CAANSR + CAASIP,5,0
CAACFC + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAAOTH + CAASIP + CAATVP,5,0
CAACFC + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAAPARGDC + CAASIP + CAATVP,5,0
CAACFC + CAAGACTM + CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,5,0
CAACFC + CAAGACTM + CAANESH + CAANSPS + CAASIP,5,0
CAACFC + CAAMACT + CAANESH + CAANSPS + CAANSR + CAAPARGDC + CAAPSD + CAASIP + CAATVP,5,0
CAACFC + CAANSPS + CAAPSD + CAASIP + CAATVP,5,0
CAACFC + CAANSR + CAAPARGDC + CAASIP + CAATVP,5,0
CAAFENF + CAAFESOP + CAANSPS + CAASIP,5,0
CAAFENF + CAANSPS + CAASIP,5,0
CAAFENF + CAASIP + CAATVP,5,0
CAAFESOP + CAAFIP + CAANSPS + CAASIP,5,0
CAAFESOP + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAASIP + CAATVP,5,0
CAAFESOP + CAAGACTM + CAAOTH + CAASIP,5,0
CAAFESOP + CAAGACTM + CAASIP + CAATVP,5,0
CAAFESOP + CAANSPS + CAAPSD + CAASIP,5,0
CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAASIP,5,0
CAAGACTM + CAAMACT + CAANSPS,5,0
CAAGACTM + CAAMACT + CAANSPS + CAAPSD + CAASIP,5,0
CAAGACTM + CAAMACT + CAANSR + CAASIP,5,0
CAAGACTM + CAANSPS + CAAPSD + CAASIP,5,0
CAAGACTM + CAATVP,5,0
CAAMACT + CAANSPS + CAANSR + CAAOTH + CAASIP + CAATVP,5,0
CAAMACT + CAANSPS + CAANSR + CAAPSD + CAATVP,5,0
CAAMACT + CAANSPS + CAAPARGDC + CAATVP,5,0
CAAMACT + CAAPSD,5,0
CAANAM + CAANSPS + CAASIP,5,0
CAANAM + CAAPSD + CAATVP,5,0
