program_bundle,n_sources,pct
CAANSPS + CAANSPSM + CAANSR + CAAPSD + CAASIP + CAATVP,1,0
CAANSPS + CAANSPSM + CAAOTH + CAASIP,1,0
CAANSPS + CAANSPSM + CAAPSD + CAASIP,1,0
CAANSPS + CAANSPSM + CAATVP,1,0
CAANSPS + CAANSR + CAAOTH,1,0
CAANSPS + CAANSR + CAAOTH + CAASFP + CAASIP + CAATVP,1,0
CAANSPS + CAANSR + CAAPARGDC + CAASIP,1,0
CAANSPS + CAAPARGDC,1,0
CAANSPS + CAARMP + CAASIP + CAATVP,1,0
CAANSPSM + CAAOTH,1,0
CAANSPSM + CAAPSD + CAASIP,1,0
CAANSPSM + CAASIP + CAATVP,1,0
CAANSPSM + CAATIP,1,0
CAANSR + CAAOTH,1,0
CAANSR + CAAOTH + CAASIP + CAATVP,1,0
CAANSR + CAAPARGDC + CAAPSD,1,0
CAANSR + CAAPARGDC + CAASIP,1,0
CAANSR + CAATIP,1,0
CAAOP + CAAPSD + CAATVP,1,0
CAAOP + CAASIP,1,0
CAAPARGDC + CAAPSD,1,0
CAAPARGDC + CAASIP + CAATVP,1,0
CAASIP + CAASIP,1,0
CAATIP + CAATVP,1,0
