PROGRAM_CODES,n,pct
"CAAMACT, CAANESH, CAANSPSM, CAAOTH, CAASIP",1,0
"CAAMACT, CAANESH, CAANSPSM, CAASIP",1,0
"CAAMACT, CAANESH, CAANSPSM, CAASIP, CAATVP",1,0
"CAAMACT, CAANESH, CAANSR, CAASIP",1,0
"CAAMACT, CAANESH, CAAOP, CAAPSD, CAASIP",1,0
"CAAMACT, CAANESH, CAAOTH, CAAPSD, CAASIP, CAATVP",1,0
"CAAMACT, CAANESH, CAAOTH, CAATVP",1,0
"CAAMACT, CAANFRP, CAANSPS, CAAOTH, CAASIP",1,0
"CAAMACT, CAANFRP, CAANSPS, CAAPSD, CAASIP, CAATVP",1,0
"CAAMACT, CAANFRP, CAANSPSM, CAANSR, CAAOTH",1,0
"CAAMACT, CAANFRP, CAANSPSM, CAANSR, CAAOTH, CAASIP",1,0
"CAAMACT, CAANFRP, CAAOTH",1,0
"CAAMACT, CAANFRP, CAAOTH, CAASIP",1,0
"CAAMACT, CAANSP",1,0
"CAAMACT, CAANSP, CAANSPS, CAATVP",1,0
"CAAMACT, CAANSP, CAAOP, CAAPSD",1,0
"CAAMACT, CAANSPS, CAANSPSM, CAANSR",1,0
"CAAMACT, CAANSPS, CAANSPSM, CAAOTH",1,0
"CAAMACT, CAANSPS, CAANSPSM, CAAPSD, CAASIP",1,0
"CAAMACT, CAANSPS, CAANSR, CAAOP, CAASFP",1,0
"CAAMACT, CAANSPS, CAANSR, CAAOTH, CAASIP",1,0
"CAAMACT, CAANSPS, CAAOP, CAAPSD, CAASIP, CAASO",1,0
"CAAMACT, CAANSPS, CAAOP, CAARMP",1,0
"CAAMACT, CAANSPS, CAAOP, CAASO",1,0
"CAAMACT, CAANSPS, CAAOP, CAASWFC",1,0
"CAAMACT, CAANSPS, CAAOP, CAATIP",1,0
"CAAMACT, CAANSPS, CAAOTH, CAAPSD, CAASIP",1,0
"CAAMACT, CAANSPS, CAAPSD, CAAPSDPR, CAASIP, CAATVP",1,0
"CAAMACT, CAANSPS, CAAPSD, CAASIP, CAATIP",1,0
"CAAMACT, CAANSPS, CAARMP",1,0
"CAAMACT, CAANSPS, CAASIP, CAASO",1,0
"CAAMACT, CAANSPS, CAASIP, CAASWFC",1,0
"CAAMACT, CAANSPS, CAASIP, CAATIP",1,0
"CAAMACT, CAANSPS, CAASO, CAATVP",1,0
"CAAMACT, CAANSPS, CAASPP",1,0
"CAAMACT, CAANSPSM, CAANSR, CAAOTH, CAASIP, CAATVP",1,0
"CAAMACT, CAANSPSM, CAANSR, CAATVP",1,0
"CAAMACT, CAANSPSM, CAAOTH, CAASIP",1,0
"CAAMACT, CAANSPSM, CAAPSD, CAASIP",1,0
"CAAMACT, CAANSPSM, CAAPSD, CAATVP",1,0
"CAAMACT, CAANSR, CAAOTH, CAASIP",1,0
"CAAMACT, CAANSR, CAAPSD, CAATVP",1,0
"CAAMACT, CAAOP, CAARMP",1,0
"CAAMACT, CAAOP, CAASO",1,0
"CAAMACT, CAAPARGDC",1,0
"CAAMACT, CAAPARGDC, CAASIP, CAATVP",1,0
"CAAMACT, CAASFP, CAASIP, CAATVP",1,0
"CAAMACT, CAASFP, CAATVP",1,0
"CAAMACT, CAASIP, CAATIP, CAATVP",1,0
"CAAMACT, CAASPP",1,0
"CAAMS, CAANSPS",1,0
"CAAMS, CAASO",1,0
"CAAMSE, CAANESH, CAANSPS, CAAPSD, CAASIP, CAATVP",1,0
CAANAAQS,1,0
"CAANAAQS, CAANESH, CAANSPS, CAASO",1,0
"CAANAAQS, CAANSPS, CAASIP",1,0
"CAANAAQS, CAANSR, CAASIP, CAATVP",1,0
"CAANAM, CAANESH, CAANSR, CAATVP",1,0
"CAANAM, CAANESH, CAATVP",1,0
"CAANAM, CAANSPS, CAAOP",1,0
"CAANAM, CAANSPS, CAASIP, CAATVP",1,0
"CAANAM, CAANSR, CAAPSD, CAATVP",1,0
"CAANAM, CAANSR, CAATIP, CAATVP",1,0
"CAANAM, CAAOP, CAASIP",1,0
"CAANAM, CAAOP, CAATIP, CAATVP",1,0
"CAANESH, CAANFRP, CAANSPS, CAASIP",1,0
"CAANESH, CAANFRP, CAANSR, CAAOTH",1,0
"CAANESH, CAANFRP, CAAOTH, CAATVP",1,0
"CAANESH, CAANSP, CAANSPS, CAAPSD, CAASIP, CAATVP",1,0
"CAANESH, CAANSP, CAANSPS, CAASIP",1,0
"CAANESH, CAANSP, CAASO",1,0
"CAANESH, CAANSPS, CAANSPSM",1,0
"CAANESH, CAANSPS, CAANSPSM, CAANSR, CAAOTH, CAASIP, CAATVP",1,0
"CAANESH, CAANSPS, CAANSPSM, CAAPSD, CAASIP, CAATVP",1,0
"CAANESH, CAANSPS, CAANSPSM, CAASIP",1,0
"CAANESH, CAANSPS, CAANSR, CAAOP",1,0
"CAANESH, CAANSPS, CAANSR, CAAOTH, CAASIP",1,0
"CAANESH, CAANSPS, CAANSR, CAAPSD",1,0
"CAANESH, CAANSPS, CAAOP, CAAPSD",1,0
"CAANESH, CAANSPS, CAAOP, CAAPSD, CAASIP",1,0
"CAANESH, CAANSPS, CAAOTH, CAAPSD, CAATVP",1,0
"CAANESH, CAANSPS, CAAOTH, CAASIP, CAATVP",1,0
"CAANESH, CAANSPS, CAAPARGDC",1,0
"CAANESH, CAANSPS, CAAPSD, CAASIP, CAATVP, CAATVS",1,0
"CAANESH, CAANSPS, CAASFP",1,0
"CAANESH, CAANSPSM, CAAOTH",1,0
"CAANESH, CAAOP, CAATIP, CAATVP",1,0
"CAANESH, CAARMP, CAATVP",1,0
"CAANESH, CAASIP, CAASWFC",1,0
"CAANESH, CAASIP, CAATIP, CAATVP",1,0
"CAANESH, CAASO",1,0
"CAANFRP, CAANSPS, CAANSPSM, CAANSR, CAAOTH",1,0
"CAANFRP, CAANSPS, CAANSR, CAAOTH",1,0
"CAANFRP, CAANSPS, CAANSR, CAATVP",1,0
"CAANFRP, CAANSPS, CAAPSD, CAASIP, CAATVP",1,0
"CAANFRP, CAANSR, CAAOTH, CAATVP",1,0
"CAANFRP, CAANSR, CAASIP",1,0
"CAANFRP, CAANSR, CAASIP, CAATVP",1,0
"CAANFRP, CAAOTH, CAASIP, CAATIP",1,0
"CAANSP, CAANSPS, CAASIP",1,0
"CAANSP, CAAOP",1,0
"CAANSP, CAAPSD",1,0
"CAANSP, CAAPSD, CAASIP",1,0
"CAANSP, CAATVP",1,0
"CAANSPS, CAANSPSM, CAANSR",1,0
"CAANSPS, CAANSPSM, CAANSR, CAAOTH, CAASIP, CAATVP",1,0
"CAANSPS, CAANSPSM, CAAOTH",1,0
"CAANSPS, CAANSPSM, CAATVP",1,0
"CAANSPS, CAANSR, CAAOP",1,0
"CAANSPS, CAANSR, CAAOP, CAASIP",1,0
"CAANSPS, CAANSR, CAAOTH, CAASFP, CAASIP, CAATVP",1,0
"CAANSPS, CAANSR, CAAOTH, CAASIP",1,0
"CAANSPS, CAANSR, CAAOTH, CAATVP",1,0
"CAANSPS, CAANSR, CAAPSD, CAAPSDPR, CAATVP",1,0
"CAANSPS, CAAOP, CAAPSD",1,0
"CAANSPS, CAAOP, CAASWFC",1,0
"CAANSPS, CAAOP, CAATVP",1,0
"CAANSPS, CAAOTH, CAATVP",1,0
"CAANSPS, CAAPARGDC",1,0
"CAANSPS, CAAPARGDC, CAATVP",1,0
"CAANSPS, CAAPSD, CAAPSDPR, CAATVP",1,0
"CAANSPS, CAASFP, CAASIP",1,0
"CAANSPS, CAASIP, CAASWFC",1,0
"CAANSPS, CAASIP, CAATIP",1,0
"CAANSPS, CAASIP, CAATVS",1,0
"CAANSPSM, CAANSR",1,0
"CAANSPSM, CAAOTH, CAATVP",1,0
"CAANSPSM, CAASFP, CAASIP, CAATVP",1,0
"CAANSR, CAAOP, CAAPSD, CAASIP",1,0
"CAANSR, CAASFP, CAASIP",1,0
"CAAOP, CAAPSD",1,0
"CAAOP, CAAPSD, CAASIP",1,0
"CAAPARGDC, CAASIP",1,0
"CAASO, CAATVP",1,0
"CAASPP, CAATVP",1,0
"CAASWFC, CAATVP",1,0
