POLLUTANT_CODE,POLLUTANT_DESC,n,pct
12567,Propanal,5,0
300000008,Toxaphene,5,0
300000117,"4,4' - methylenebis (2 - chloroaniline)",5,0
300000181,Methoxychlor,5,0
300000195,4-Dimethylaminoazobenzene,5,0
300000233,Sulfates,5,0
300000262,Ethyleneimine,5,0
300000385,Polyvinyl chloride,5,0
300000393,Molybdenum trioxide,5,0
300000435,"1,1,1,2-Tetrachloroethane",5,0
300000509,Polymeric diphenylmethane diisocyanate,5,0
300000511,Diethylene glycol monoethyl ether,5,0
300000521,m-Dichlorobenzene,5,0
300000522,Uranium-238,5,0
300000621,Octachloronaphthalene,5,0
300000658,Aluminum hydroxide,5,0
300000659,Vinyltoluene,5,0
300000675,Magnesium,5,0
320002781,Reduced Sulfur Compounds,5,0
2440,MDI,4,0
6410,CHROMIUM TRIVALENT,4,0
7838,"1,12-Benzoperylene",4,0
300000033,Thallium,4,0
300000080,"1,2-Diphenylhydrazine",4,0
300000091,Propoxur,4,0
300000272,Methyl Isocyanate,4,0
300000292,ACETYLENES (ALKYNES),4,0
300000303,FINE MINERAL FIBERS_(E649533),4,0
300000309,MERCURY COMPOUNDS (E650028),4,0
300000434,n-Amyl acetate,4,0
300000465,Butyric acid,4,0
300000492,Lead monoxide,4,0
300000503,"4,4'-isopropylidenediphenol",4,0
300000515,n-Dodecane,4,0
300000552,Nitromethane,4,0
300000567,Terephthalic acid,4,0
300000580,1-Methoxy-2-propyl acetate,4,0
300000639,Silane,4,0
300000664,Isooctanol,4,0
300000665,Diisononyl phthalate,4,0
300000669,Light aliphatic solvent naphtha (petroleum),4,0
300000678,1-Propanol,4,0
320002702,Hydrochloric Acid-Equivalents,4,0
2097,Hydrogen fluoride,3,0
6414,DICHLORODIFLUOROMETHANE [CFC-12],3,0
6419,HCFC [HYRDOCHLOROFLUOROCARBONS],3,0
300000044,Trifluralin,3,0
300000086,"3,3-dimethylbenzidine",3,0
300000125,Ethylene thiourea,3,0
300000278,PROPANE SULTONE,3,0
300000306,HYDROFLUOROCARBONS,3,0
300000391,Nitrilotriacetic acid,3,0
300000405,Diethylamine,3,0
300000420,Dinitrotoluene,3,0
300000429,Potassium hydroxide,3,0
300000436,2-Propen-1-ol,3,0
300000447,Cyclohexylamine,3,0
300000461,Ethinyl estradiol,3,0
300000472,Tetraethyl lead,3,0
300000489,Strontium,3,0
300000494,Isopropyl ether,3,0
300000495,Calcium,3,0
300000497,Hexamethylenediamine,3,0
300000502,Methacrylic acid,3,0
300000506,Methyl ethyl ketone peroxide,3,0
300000507,"trans-1,3-Dichloropropene",3,0
300000510,Potassium,3,0
300000543,2-Methylbutane,3,0
300000551,Formamide,3,0
300000575,Propargyl alcohol,3,0
300000603,"1,3-Pentadiene",3,0
300000610,Glycidylaldehyde,3,0
300000618,m-Xylylenediamine,3,0
300000619,Nitrofen,3,0
300000625,Isophorone diisocyanate,3,0
816,CARBON DIOXIDE LIQUID,2,0
2509,Methyl chloride,2,0
2787,Nitric acid,2,0
2832,NITROGEN OXIDES NO2,2,0
3214,PERCHLOETHYLENE,2,0
10276,2-Butoxyethanol,2,0
11257,"HFC-152a [1,1-difluoroethane]",2,0
200000221,n-Propyl Bromide,2,0
300000031,Titanium,2,0
300000032,Tin,2,0
300000070,Chloramben,2,0
300000071,Captan,2,0
300000190,Carbaryl,2,0
300000201,Glycerine,2,0
300000202,Parathion,2,0
300000204,2-Acetylaminofluorene,2,0
300000251,"n,n-Dimethylcarbamoyl Chloride",2,0
300000261,trans-Crotonaldehyde,2,0
300000263,Diazomethane,2,0
300000267,HFC-245fa,2,0
300000275,N-NITROSO-N-METHYLUREA,2,0
300000279,DICHLORODIPHENYLDICHLOROETHYLENE,2,0
300000288,PERFLUOROCARBONS,2,0
300000297,BERYLLIUM COMPOUNDS (E649947),2,0
300000341,"2-Propanamine, N,N-dimethyl-",2,0
300000357,Methyl acrylate,2,0
300000365,N-Methyl-2-pyrrolidone,2,0
300000372,Nitrogen,2,0
300000443,Diethylaminoethanol,2,0
300000450,Chlorothalonil,2,0
300000482,Boron,2,0
300000484,Picric acid,2,0
300000490,Zinc oxide,2,0
300000491,Barium sulfate,2,0
300000493,Wood creosote,2,0
300000496,Trichlorobenzene,2,0
300000517,Di[2-ethylhexyl] adipate,2,0
300000519,Methyl formate,2,0
300000523,Urea,2,0
300000529,Oxalic acid,2,0
300000530,Hydrotreated heavy naphthenic distillates (petroleum),2,0
300000541,"1,2,3-Trichloropropane",2,0
300000550,Propyne,2,0
300000553,tert-Butylamine,2,0
300000563,Butyl methacrylate,2,0
300000564,p-tert-Butyltoluene,2,0
300000570,2-(Dibutylamino)ethanol,2,0
300000585,Dimethoxymethane,2,0
300000591,Adiponitrile,2,0
300000592,Diethylene glycol monomethyl ether,2,0
300000594,Ethylene glycol monohexyl ether,2,0
300000597,C.I. Pigment Blue 15,2,0
300000598,Anthanthrene,2,0
300000611,Undecane,2,0
300000612,Boric oxide,2,0
300000627,Boron trifluoride,2,0
300000636,Nickel sulfate,2,0
300000640,Castor oil,2,0
300000641,"Turpentine, oil",2,0
300000642,Paraffin oils,2,0
300000650,Ammonium chloride,2,0
