POLLUTANT_CODE,POLLUTANT_DESC,n_facilities
300000633,Hydrogen selenide,1
300000635,Arsine,1
300000638,Strontium chromate,1
300000646,Polyvinyl alcohol,1
300000648,Boron trichloride,1
300000656,2-Dodecenylsuccinic anhydride,1
300000662,Naphthalene diisocyanate,1
300000663,Diisodecyl phthalate,1
300000666,Dipropylene glycol monomethyl ether,1
320002705,Total Selected Metals,1
