ACTIVITY_ID,n
3400304297,2
3400304299,2
3400304301,2
3400304302,2
3400304304,2
3400304306,2
3400304307,2
3400304335,2
3400304337,2
3400304339,2
3400304342,2
3400304344,2
3400304346,2
3400304347,2
3400304349,2
3400304351,2
3400304353,2
3400304355,2
3400304357,2
3400304359,2
3400304360,2
3400304362,2
3400304364,2
3400304366,2
3400304368,2
3400304370,2
3400304418,2
3400304420,2
3400304422,2
3400304424,2
3400304451,2
3400304453,2
3400304460,2
3400304464,2
3400304466,2
3400304470,2
3400304472,2
3400304474,2
3400304476,2
3400304478,2
3400304487,2
3400304506,2
3400304511,2
3400304513,2
3400304515,2
3400304517,2
3400304519,2
3400304520,2
3400304527,2
3400304528,2
3400304530,2
3400304531,2
3400304533,2
3400304534,2
3400304536,2
3400304538,2
3400304544,2
3400304545,2
3400304547,2
3400304558,2
3400304559,2
3400304560,2
3400304562,2
3400304564,2
3400304565,2
3400304567,2
3400304569,2
3400304571,2
3400304573,2
3400304584,2
3400304585,2
3400304587,2
3400304589,2
3400304591,2
3400304593,2
3400304594,2
3400304596,2
3400304598,2
3400304600,2
3400304602,2
3400304604,2
3400304606,2
3400304607,2
3400304610,2
3400304612,2
3400304614,2
3400304616,2
3400304618,2
3400304619,2
3400304621,2
3400304623,2
3400304624,2
3400304626,2
3400304628,2
3400304630,2
3400304632,2
3400304643,2
3400304648,2
3400304650,2
3400304651,2
3400304653,2
3400304661,2
3400304663,2
3400304667,2
3400304672,2
3400304683,2
3400304685,2
3400304687,2
3400304688,2
3400304725,2
3400304727,2
3400304729,2
3400304731,2
3400304732,2
3400304734,2
3400304736,2
3400304737,2
3400304739,2
3400304746,2
3400304747,2
3400304749,2
3400304750,2
3400304770,2
3400304772,2
3400304775,2
3400304777,2
3400304780,2
3400304783,2
3400304785,2
3400304790,2
3400304792,2
3400304793,2
3400304795,2
3400304797,2
3400304799,2
3400304806,2
3400304810,2
3400304812,2
3400304814,2
3400304816,2
3400304821,2
3400304823,2
3400304826,2
3400304835,2
3400304837,2
3400304853,2
3400304864,2
3400304866,2
3400304867,2
3400304869,2
3400304871,2
3400304873,2
3400304875,2
3400304887,2
3400304888,2
3400304890,2
3400304892,2
3400304893,2
3400304896,2
3400304903,2
3400304905,2
3400304907,2
3400304908,2
3400304915,2
3400304919,2
3400304921,2
3400304923,2
3400304941,2
3400304943,2
3400304945,2
3400304947,2
3400304948,2
3400304950,2
3400304952,2
3400304954,2
3400304955,2
3400304957,2
3400304970,2
3400304972,2
3400304976,2
3400304978,2
3400304980,2
3400304988,2
3400304989,2
3400304991,2
3400304993,2
3400304994,2
3400304996,2
3400305007,2
3400305010,2
3400305029,2
3400305031,2
3400305033,2
3400305035,2
3400305036,2
3400305042,2
3400305044,2
3400305046,2
3400305049,2
3400305058,2
3400305060,2
3400305062,2
3400305064,2
3400305071,2
3400305075,2
3400305077,2
3400305078,2
3400305085,2
3400305087,2
3400305092,2
3400305094,2
3400305096,2
3400305097,2
3400305116,2
3400305127,2
3400305129,2
3400305131,2
3400305132,2
3400305135,2
3400305140,2
3400305142,2
3400305144,2
3400305145,2
3400305152,2
3400305154,2
3400305156,2
3400305157,2
3400305160,2
3400305162,2
3400305164,2
3400305220,2
3400305247,2
3400305249,2
3400305251,2
3400305253,2
3400305254,2
3400305256,2
3400305262,2
3400305269,2
3400305275,2
3400305276,2
3400305278,2
3400305280,2
3400305282,2
3400305284,2
3400305291,2
3400305297,2
3400305298,2
3400305306,2
3400305308,2
3400305317,2
3400305319,2
3400305330,2
3400305331,2
3400305338,2
3400305340,2
3400305351,2
3400305352,2
3400305354,2
3400305397,2
3400305399,2
3400305401,2
3400305403,2
3400305429,2
3400305433,2
3400305436,2
3400305438,2
3400305440,2
3400305442,2
3400305444,2
3400305445,2
3400305447,2
3400305454,2
3400305456,2
3400305469,2
3400305471,2
3400305473,2
3400305475,2
3400305476,2
3400305478,2
3400305480,2
3400305482,2
3400305483,2
3400305485,2
3400305487,2
3400305489,2
3400305501,2
3400305503,2
3400305514,2
3400305515,2
3400305517,2
3400305540,2
3400305542,2
3400305555,2
3400305557,2
3400305560,2
3400305562,2
3400305564,2
3400305566,2
3400305573,2
3400305602,2
3400305604,2
3400305606,2
3400305607,2
3400305609,2
3400305611,2
3400305613,2
3400305615,2
3400305616,2
3400305618,2
3400305620,2
3400305622,2
3400305623,2
3400305625,2
3400305627,2
3400305629,2
3400305651,2
3400305675,2
3400305677,2
3400305680,2
3400305682,2
3400305683,2
3400305694,2
3400305697,2
3400305710,2
3400305712,2
3400305719,2
3400305721,2
3400305722,2
3400305731,2
3400305733,2
3400305735,2
3400305736,2
3400305740,2
3400305742,2
3400305745,2
3400305748,2
3400305750,2
3400305754,2
3400305756,2
3400305761,2
3400305763,2
3400305765,2
3400305808,2
3400305840,2
3400305842,2
3400305849,2
3400305853,2
3400305854,2
3400305856,2
3400305858,2
3400305859,2
3400305861,2
3400305863,2
3400305865,2
3400305867,2
3400305872,2
3400305886,2
3400305888,2
3400305904,2
3400305906,2
3400305936,2
3400305987,2
3400305997,2
3400306001,2
