PGM_SYS_ID,POLLUTANT_CODE,n
06000000480276E015,300000074,2
06000000480276E016,300000074,2
06000000480276E017,300000074,2
06000000480276E018,300000074,2
06000000480276E019,300000074,2
06000000480276E020,300000074,2
06000000480276E021,300000074,2
06000000480276E022,300000074,2
06000000480276E023,300000074,2
06000000480276E024,300000210,2
06000000480276E025,10193,2
06000000480276E025,300000006,2
06000000480276E025,300000243,2
06000000480276E025,300000319,2
06000000480296E001,300000047,2
06000000480296E002,300000074,2
06000000480296E003,300000074,2
06000000480296E004,300000074,2
06000000480296E005,300000074,2
06000000480296E006,300000074,2
06000000480296E007,300000074,2
06000000480296E008,300000074,2
06000000480296E009,300000074,2
06000000480296E010,300000074,2
06000000480296E011,300000074,2
06000000480296E012,300000074,2
06000000480296E013,300000074,2
06000000480296E014,300000074,2
06000000480296E015,300000074,2
06000000480296E016,300000074,2
06000000480296E017,300000074,2
06000000480296E017,300000240,2
06000000480296E018,300000074,2
06000000480296E019,300000074,2
06000000480296E020,300000074,2
06000000480296E021,300000074,2
06000000480296E022,300000074,2
06000000480296E023,300000074,2
06000000480296E024,300000074,2
06000000480296E025,300000074,2
06000000480296E026,300000074,2
06000000480296E027,300000074,2
06000000480296E028,300000074,2
06000000480296E029,300000074,2
06000000480296E030,300000074,2
06000000480296E031,300000210,2
06000000480296E032,300000210,2
06000000480296E033,300000210,2
06000000480296E034,300000210,2
06000000480296E035,300000210,2
06000000480296E036,300000074,2
06000000480296E037,300000074,2
06000000480296E038,300000074,2
06000000480296E039,300000074,2
06000000480296E040,300000074,2
06000000480296E041,300000074,2
06000000480296E042,300000074,2
06000000480296E043,300000074,2
06000000480296E044,300000074,2
06000000480296E045,300000074,2
06000000480296E046,300000074,2
06000000480296E047,300000074,2
06000000480296E048,300000074,2
06000000480296E049,300000074,2
06000000480296E050,300000074,2
06000000480296E051,300000074,2
06000000480296E052,300000074,2
06000000480296E053,300000074,2
06000000480296E054,300000074,2
06000000480296E055,300000074,2
06000000480296E056,300000074,2
06000000480296E057,300000074,2
06000000480296E058,300000074,2
06000000480296E059,300000074,2
06000000480296E060,300000074,2
06000000480296E061,300000074,2
06000000480296E062,300000074,2
06000000480296E063,300000074,2
06000000480296E064,300000240,2
06000000480296E065,300000240,2
06000000480296E066,300000240,2
06000000480296E067,300000240,2
06000000480296E068,300000240,2
06000000480296E069,300000240,2
06000000480296E070,300000240,2
06000000480296E071,300000240,2
06000000480296E072,300000240,2
06000000480296E073,300000240,2
06000000480296E074,300000240,2
06000000480296E076,300000240,2
06000000480296E077,300000240,2
06000000480296E078,300000240,2
06000000480296E079,300000240,2
06000000480296E080,300000240,2
06000000480296E081,300000240,2
06000000480296E082,300000240,2
06000000480296E083,300000240,2
06000000480296E084,300000240,2
06000000480296E085,300000240,2
06000000480296E086,300000240,2
06000000480296E088,300000210,2
06000000480296E089,300000074,2
06000000480296E090,300000074,2
06000000480296E091,300000074,2
06000000480296E092,300000074,2
06000000480296E093,300000074,2
06000000480296E094,300000074,2
06000000480296E095,300000074,2
06000000480296E096,300000074,2
06000000480296E097,300000074,2
06000000480296E098,300000074,2
06000000480296E099,300000074,2
06000000480296E100,300000074,2
06000000480296E101,300000074,2
06000000480296E102,300000074,2
06000000480296E103,300000074,2
06000000480296E104,300000074,2
06000000480296E105,300000074,2
06000000480296E106,300000074,2
06000000480296E107,300000074,2
06000000480296E108,300000074,2
06000000480296E109,300000074,2
06000000480296E110,300000074,2
06000000480296E111,300000074,2
06000000480296E112,300000074,2
06000000480296E113,300000074,2
06000000480296E114,300000074,2
06000000480296E115,300000210,2
06000000480296E116,300000210,2
06000000480296E117,300000240,2
06000000480296E118,300000240,2
06000000480296E122,300000240,2
06000000480296E123,300000240,2
06000000480296E124,300000240,2
06000000480396E001,300000240,2
06000000480416E001,300000074,2
06000000480416E002,300000074,2
06000000480416E003,300000074,2
06000000480416E004,300000074,2
06000000480416E005,300000074,2
06000000480416E006,300000074,2
06000000480416E007,300000074,2
06000000480416E008,300000074,2
06000000480416E009,300000074,2
06000000480416E010,300000074,2
06000000480416E011,300000074,2
06000000480416E012,300000074,2
06000000480416E013,300000074,2
06000000480416E014,300000074,2
06000000480416E015,300000074,2
06000000480416E016,300000074,2
06000000480416E017,300000074,2
06000000480416E018,300000074,2
06000000480416E019,300000074,2
06000000480416E020,300000074,2
06000000480416E021,300000074,2
06000000480516E001,300000243,2
06000000480616E001,300000074,2
06000000480616E002,300000074,2
06000000480616E003,300000074,2
06000000480616E004,300000074,2
06000000480616E005,300000074,2
06000000480616E006,300000074,2
06000000480616E007,300000074,2
06000000480616E008,300000074,2
06000000480616E009,300000074,2
06000000480616E010,300000074,2
06000000480616E011,300000074,2
06000000480616E012,300000074,2
06000000480616E013,300000074,2
06000000480616E014,300000074,2
06000000480616E015,300000240,2
06000000480736E001,300000210,2
06000000480856E001,300000210,2
06000000480856E002,300000210,2
06000000480856E003,300000074,2
06000000480856E004,300000074,2
06000000480856E005,300000074,2
06000000480856E006,300000074,2
06000000480856E007,300000074,2
06000000480856E008,300000074,2
06000000480856E009,300000074,2
06000000480856E010,300000074,2
06000000480856E011,300000074,2
06000000480856E012,300000074,2
06000000480856E013,300000074,2
06000000480856E014,300000210,2
06000000480856E015,300000074,2
06000000480856E016,300000074,2
06000000480856E017,300000074,2
06000000480856E018,300000074,2
06000000480856E019,300000074,2
06000000480856E020,300000074,2
06000000480856E021,300000074,2
06000000480856E022,300000074,2
06000000480856E028,300000240,2
06000000480856E030,300000240,2
06000000480856E031,300000240,2
06000000480856E032,300000240,2
06000000480856E033,300000240,2
06000000480856E034,300000240,2
06000000480916E001,300000210,2
06000000480916E002,300000074,2
06000000480916E003,300000074,2
06000000480916E004,300000074,2
06000000480916E005,300000074,2
06000000480916E006,300000074,2
