ACTIVITY_ID,n
3600743909,2
3600750851,2
3600750865,2
3600752445,2
3600757647,2
3600766743,2
3600766836,2
3600772569,2
3600775762,2
3600789172,2
3600799480,6
3600808732,2
3600810303,15
3600819139,2
3600820834,3
3600825571,6
3600828973,26
3600828977,11
3600831043,2
3600832444,3
3600897057,4
3600900873,19
3600904857,10
3600956182,4
3600969505,8
3600972094,2
3600973784,4
3600973805,4
3600991026,3
3600991055,2
3600997626,3
3600998956,2
3601056356,2
3601127945,5
3601152504,2
3601157109,3
3601157237,12
3601157263,4
3601157275,8
3601157282,4
3601170456,8
3601174342,2
3601192977,2
3601193116,2
3601193121,2
3601200680,2
3601201841,2
3601203953,147
3601213128,5
3601213145,25
3601227859,18
3601227862,2
3601227878,2
3601276506,2
3601283704,2
3601283747,2
3601303922,4
3601383214,50
3601405218,2
3601411844,2
3601426032,2
3601442513,2
3601446549,2
3601457649,2
3601458529,2
3601463384,2
3601472510,2
3601477051,16
3601502193,2
3601502686,4
3601508935,2
3601533098,2
3601547751,2
3601548013,2
3601548053,2
3601548059,2
3601548062,2
3601548065,2
3601548072,2
3601548080,2
3601555421,2
3601555432,2
3601555497,2
3601555504,2
3601610001,4
3601620762,30
3601692047,2
3601699182,2
3601701733,3
3601708020,2
3601708186,2
3601742293,4
3601743487,2
3601743576,14
3601755494,3
3601755495,3
3601755508,9
3601755512,2
3601755523,4
3601755524,6
3601755536,2
3601755567,2
3601755590,4
3601760571,2
3601760590,2
3601760603,2
3601760617,4
3601760674,3
3601760686,4
3601760696,2
3601760765,7
3601760817,2
3601760852,2
3601760868,4
3601760880,6
3601760889,4
3601760905,2
3601760924,2
3601760956,2
3601761008,2
3601761145,3
3601761152,2
3601761199,4
3601761228,2
3601761238,6
3601761282,6
3601761293,2
3601761304,4
3601761305,2
3601761306,2
3601761332,2
3601761383,2
3601761391,6
3601761401,2
3601761402,6
3601761416,8
3601761440,2
3601761450,6
3601761462,2
3601761597,3
3601761603,2
3601761742,2
3601761841,2
3601761874,2
3601761923,4
3601761936,2
3601762004,4
3601796342,2
3601804144,6
3601887176,2
3601891237,2
3601891255,2
3601891259,2
3601918783,2
3601931726,2
3601970218,2
3601972324,2
3601972454,2
3601979388,2
3601982329,2
3601983308,2
3601983341,6
3601990223,2
3601990751,7
3601996156,2
3602046757,2
3602046771,2
3602069120,2
3602094533,2
3602185648,2
3602185657,2
3602237365,8
3602265502,2
3602265531,2
3602265545,4
3602265590,2
3602265596,2
3602265649,4
3602266638,2
3602266645,3
3602266673,3
3602267219,3
3602267324,14
3602267874,16
3602268871,12
3602269613,8
3602269685,24
3602285428,2
3602305321,2
3602334237,2
3602385188,2
3602390002,7
3602391332,4
3602480414,2
3602490081,3
3602496849,2
3602497055,2
3602497064,2
3602497097,2
3602497148,2
3602497158,2
3602497222,2
3602497298,3
3602497309,3
3602497377,2
3602497405,3
3602497424,2
3602497449,2
3602497456,2
3602497499,2
3602497521,2
3602497674,3
3602497784,2
3602497825,2
3602497911,2
3602497948,2
3602497968,2
3602498157,2
3602498205,2
3602498292,2
3602498316,2
3602498323,2
3602498329,2
3602498344,2
3602498413,2
3602498495,3
3602498611,3
3602498661,3
3602498683,2
3602498733,2
3602498933,4
3602498974,2
3602498983,6
3602499009,3
3602499100,3
3602499107,2
3602499132,5
3602499133,17
3602499216,7
3602499248,2
3602499251,2
3602499351,4
3602499366,5
3602499381,2
3602499385,4
3602499401,4
3602499425,2
3602499474,2
3602499476,2
3602499480,2
3602499526,2
3602499596,2
3602499597,3
3602687705,2
3602690114,2
3602694020,2
3602706344,3
3602725394,2
3602725395,4
3602732734,2
3602735241,5
3602736480,7
3602739736,2
3602750718,2
3602763397,2
3602775342,4
3602793949,2
3602805249,4
3602807184,30
3602819516,4
3602822413,3
3602823974,2
3602825262,2
3602828051,5
3602828070,6
3602838230,11
3602838990,2
3602851633,2
3602854491,2
3602921769,2
3602921791,2
3602932557,3
3602955663,2
3602982612,5
3602996686,2
3603002558,2
3603008111,2
3603018410,3
3603069839,2
3603080617,2
3603082141,3
3603084304,2
3603216195,2
3603216732,3
3603265028,2
3603283266,2
3603284184,2
3603286381,5
3603287654,4
3603293903,27
3603294713,2
3603334563,2
3603359445,2
3603368685,3
3603378596,6
3603380603,4
3603385027,2
3603443730,3
3603463906,2
3603486431,2
3603498149,2
3603530111,2
3603531743,2
3603554684,2
3603558526,9
3603566594,9
3603574596,2
3603599902,2
3603613933,10
3603615967,2
3603631619,2
3603640365,5
3603645359,2
3603647304,18
3603653856,2
3603688525,5
3603689814,5
3603699628,20
3603714020,14
3603719651,2
