ACTIVITY_ID,n
3602837831,2
3602837836,2
3602837894,2
3602837901,2
3602877847,2
3602887228,2
3602904209,2
3602904216,2
3602904221,2
3602904222,2
3602908998,2
3602909580,2
3602930506,2
3602931199,2
3602935008,2
3602970928,2
3602970929,2
3602970930,2
3602970931,2
3602970932,2
3602971610,2
3602989781,2
3603008671,2
3603039159,2
3603049285,2
3603061510,2
3603063260,2
3603069958,2
3603084907,2
3603090631,2
3603091806,2
3603091844,2
3603169268,2
3603203645,2
3603232978,2
3603262938,2
3603279933,2
3603284923,2
3603284926,2
3603290878,2
3603296087,2
3603296091,2
3603296099,2
3603305636,2
3603315116,2
3603315119,2
3603327751,2
3603329747,2
3603340909,2
3603359456,2
3603377418,2
3603379695,2
3603379741,2
3603379752,2
3603379760,2
3603379780,2
3603379786,2
3603401573,2
3603408006,2
3603424973,2
3603424978,2
3603443359,2
3603455365,2
3603455368,2
3603456769,2
3603456776,2
3603456788,2
3603456794,2
3603456802,2
3603456803,2
3603456804,2
3603456806,2
3603458276,2
3603458281,2
3603458288,2
3603471702,2
3603476787,2
3603483757,2
3603553901,2
3603559396,2
3603560105,2
3603560341,2
3603582277,2
3603589247,2
3603589289,2
3603613347,3
3603613357,2
3603613908,2
3603634552,4
3603634557,3
3603634558,5
3603634569,5
3603634572,5
3603729171,2
3603729175,2
3603729180,2
3603729181,2
3603729182,2
3603729184,2
3603729186,2
3603729188,2
3603729189,2
3603729191,2
3603729194,2
3603729196,2
3603729197,2
3603729214,2
3603750220,2
3603750221,2
3603750222,2
3603779191,2
3603779831,2
3603780808,2
3603780810,2
3603786557,2
3603786649,2
3603787196,2
3603795833,2
3603865160,2
3603913577,2
3603934741,2
3603936851,2
3603936852,2
3603958801,2
3603964787,2
3603964789,2
3604004653,2
3604054130,2
3604054135,2
3604054139,2
3604107652,2
3604157311,2
3604157923,2
3604157936,2
3604215980,2
3604361851,2
3604452608,2
3604454162,2
3604496891,2
3604496892,2
3604496898,2
3604497163,2
3604541913,2
3604561253,2
3604667501,2
3604667512,2
3604692433,2
3604841556,2
3604938010,2
